nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
219,45,64,64,3,0.002,0.1,50,MSE,2025-12-17 12:00:42,2025-12-17 12:00:51,1,0.503115713596344,0.5110248327255249,0.7148600220680237,0.8110236220472441
143,45,32,64,2,0.002,0.2,50,MSE,2025-12-17 11:38:56,2025-12-17 11:39:03,1,0.5061852931976318,0.3841374516487121,0.6197882294654846,0.8051181102362205
160,45,32,64,3,0.002,0.2,50,MAE,2025-12-17 11:41:23,2025-12-17 11:41:34,1,0.5144206285476685,1.0067486763000488,1.003368616104126,0.8110236220472441
24,30,32,64,3,0.001,0.2,50,MAE,2025-12-17 11:10:13,2025-12-17 11:10:23,1,0.5173266530036926,0.8527154922485352,0.9234259724617004,0.8023483365949119
172,45,32,128,2,0.002,0.1,50,MAE,2025-12-17 11:46:01,2025-12-17 11:46:32,1,0.526166558265686,0.4931939542293548,0.7022777199745178,0.812992125984252
56,30,32,128,3,0.001,0.2,50,MAE,2025-12-17 11:19:27,2025-12-17 11:20:01,1,0.5307259559631348,0.5696252584457397,0.7547352313995361,0.8062622309197651
220,45,64,64,3,0.002,0.1,50,MAE,2025-12-17 12:00:51,2025-12-17 12:01:00,1,0.5331680178642273,0.8739497065544128,0.9348527789115906,0.8051181102362205
153,45,32,64,3,0.002,0.1,30,MSE,2025-12-17 11:40:23,2025-12-17 11:40:30,1,0.5470709204673767,0.6728639602661133,0.8202828764915466,0.8011811023622047
152,45,32,64,3,0.001,0.2,50,MAE,2025-12-17 11:40:12,2025-12-17 11:40:23,1,0.5540386438369751,0.797058641910553,0.8927814364433289,0.8031496062992126
26,30,32,64,3,0.002,0.1,30,MAE,2025-12-17 11:10:29,2025-12-17 11:10:36,1,0.5566222667694092,0.903785228729248,0.950676202774048,0.8082191780821918
12,30,32,64,2,0.002,0.1,50,MAE,2025-12-17 11:08:33,2025-12-17 11:08:42,1,0.5667257308959961,0.5858709216117859,0.7654220461845398,0.8082191780821918
254,45,64,128,3,0.002,0.2,30,MAE,2025-12-17 12:15:21,2025-12-17 12:15:47,1,0.5949696898460388,0.6029564738273621,0.7765027284622192,0.8090551181102362
158,45,32,64,3,0.002,0.2,30,MAE,2025-12-17 11:41:05,2025-12-17 11:41:12,1,0.6100826859474182,0.9745010733604432,0.9871681928634644,0.8051181102362205
20,30,32,64,3,0.001,0.1,50,MAE,2025-12-17 11:09:36,2025-12-17 11:09:46,1,0.6143753528594971,0.8234638571739197,0.9074490666389464,0.8003913894324853
28,30,32,64,3,0.002,0.1,50,MAE,2025-12-17 11:10:46,2025-12-17 11:10:56,1,0.6772667169570923,1.397734761238098,1.182258367538452,0.8023483365949119
122,30,64,128,3,0.002,0.1,30,MAE,2025-12-17 11:34:26,2025-12-17 11:34:45,1,0.6914657950401306,0.6741964221000671,0.8210946321487427,0.8062622309197651
32,30,32,64,3,0.002,0.2,50,MAE,2025-12-17 11:11:19,2025-12-17 11:11:29,1,0.9181923270225524,2.11514949798584,1.4543553590774536,0.8043052837573386
