nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
134,45,32,32,2,0.001,0.2,30,MAE,2025-11-07 22:40:34,2025-11-07 22:40:38,0.4522360563278198,0.5293635725975037,0.7275737524032593,0.5
135,45,32,32,2,0.001,0.2,50,MSE,2025-11-07 22:40:38,2025-11-07 22:40:45,0.6980804204940796,0.8855913877487183,0.9410586357116699,0.5039370078740157
136,45,32,32,2,0.001,0.2,50,MAE,2025-11-07 22:40:45,2025-11-07 22:40:53,0.710076093673706,1.0921517610549927,1.045060634613037,0.5039370078740157
137,45,32,32,2,0.002,0.1,30,MSE,2025-11-07 22:40:53,2025-11-07 22:40:57,0.3545914888381958,0.2867799997329712,0.5355184674263,0.515748031496063
138,45,32,32,2,0.002,0.1,30,MAE,2025-11-07 22:40:57,2025-11-07 22:41:01,0.4343591332435608,0.4234931468963623,0.6507635116577148,0.4921259842519685
139,45,32,32,2,0.002,0.1,50,MSE,2025-11-07 22:41:01,2025-11-07 22:41:08,0.7572107911109924,0.9697178602218628,0.9847425222396851,0.5098425196850394
140,45,32,32,2,0.002,0.1,50,MAE,2025-11-07 22:41:08,2025-11-07 22:41:16,0.7493829131126404,1.065771222114563,1.0323619842529297,0.5
141,45,32,32,2,0.002,0.2,30,MSE,2025-11-07 22:41:16,2025-11-07 22:41:20,0.48139214515686035,0.44086387753486633,0.6639758348464966,0.5137795275590551
142,45,32,32,2,0.002,0.2,30,MAE,2025-11-07 22:41:20,2025-11-07 22:41:24,0.6123798489570618,0.9041339159011841,0.950859546661377,0.4940944881889764
143,45,32,32,2,0.002,0.2,50,MSE,2025-11-07 22:41:24,2025-11-07 22:41:31,0.544712245464325,0.7532683610916138,0.8679103255271912,0.515748031496063
144,45,32,32,2,0.002,0.2,50,MAE,2025-11-07 22:41:31,2025-11-07 22:41:38,0.4919801652431488,0.5247811079025269,0.7244177460670471,0.4921259842519685
145,45,32,32,3,0.001,0.1,30,MSE,2025-11-07 22:41:38,2025-11-07 22:41:43,0.8724891543388367,1.4024169445037842,1.1842368841171265,0.5078740157480315
146,45,32,32,3,0.001,0.1,30,MAE,2025-11-07 22:41:43,2025-11-07 22:41:48,0.6781403422355652,1.1328531503677368,1.064355731010437,0.5078740157480315
147,45,32,32,3,0.001,0.1,50,MSE,2025-11-07 22:41:48,2025-11-07 22:41:56,0.7067534327507019,1.0978120565414429,1.0477652549743652,0.5039370078740157
148,45,32,32,3,0.001,0.1,50,MAE,2025-11-07 22:41:56,2025-11-07 22:42:05,0.6489437222480774,1.0296391248703003,1.0147113800048828,0.5059055118110236
149,45,32,32,3,0.001,0.2,30,MSE,2025-11-07 22:42:05,2025-11-07 22:42:10,0.5322516560554504,0.7571759819984436,0.8701586127281189,0.5137795275590551
150,45,32,32,3,0.001,0.2,30,MAE,2025-11-07 22:42:10,2025-11-07 22:42:15,0.7175097465515137,1.1700690984725952,1.0816973447799683,0.49606299212598426
151,45,32,32,3,0.001,0.2,50,MSE,2025-11-07 22:42:15,2025-11-07 22:42:23,0.5967653393745422,0.8633285164833069,0.9291547536849976,0.4940944881889764
152,45,32,32,3,0.001,0.2,50,MAE,2025-11-07 22:42:23,2025-11-07 22:42:31,1.0278011560440063,1.9683294296264648,1.402971625328064,0.5059055118110236
153,45,32,32,3,0.002,0.1,30,MSE,2025-11-07 22:42:31,2025-11-07 22:42:36,0.6172486543655396,0.9871802926063538,0.9935694932937622,0.4940944881889764
154,45,32,32,3,0.002,0.1,30,MAE,2025-11-07 22:42:36,2025-11-07 22:42:41,0.7974923849105835,1.5096218585968018,1.2286666631698608,0.49015748031496065
155,45,32,32,3,0.002,0.1,50,MSE,2025-11-07 22:42:41,2025-11-07 22:42:49,0.8188701868057251,1.7594712972640991,1.3264505863189697,0.5039370078740157
156,45,32,32,3,0.002,0.1,50,MAE,2025-11-07 22:42:49,2025-11-07 22:42:58,1.0187755823135376,2.380146026611328,1.5427721738815308,0.4921259842519685
157,45,32,32,3,0.002,0.2,30,MSE,2025-11-07 22:42:58,2025-11-07 22:43:03,0.601952075958252,0.9278509020805359,0.9632501602172852,0.49015748031496065
158,45,32,32,3,0.002,0.2,30,MAE,2025-11-07 22:43:03,2025-11-07 22:43:08,0.8826585412025452,1.7493574619293213,1.3226327896118164,0.5019685039370079
159,45,32,32,3,0.002,0.2,50,MSE,2025-11-07 22:43:08,2025-11-07 22:43:16,0.7710095047950745,1.5909501314163208,1.2613286972045898,0.5059055118110236
160,45,32,32,3,0.002,0.2,50,MAE,2025-11-07 22:43:16,2025-11-07 22:43:24,0.7588893175125122,1.59523344039917,1.2630255222320557,0.5039370078740157
