nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
67,30,64,64,2,0.001,0.1,50,MSE,2025-11-20 22:00:42,2025-11-20 22:00:47,1,0.16920045018196106,0.09423194825649261,0.3069722354412079,0.8043052837573386
68,30,64,64,2,0.001,0.1,50,MAE,2025-11-20 22:00:47,2025-11-20 22:00:52,1,0.23753909766674042,0.1901409924030304,0.436051607131958,0.7945205479452054
69,30,64,64,2,0.001,0.2,30,MSE,2025-11-20 22:00:52,2025-11-20 22:00:55,1,0.20141248404979706,0.1140187606215477,0.3376666307449341,0.7475538160469667
70,30,64,64,2,0.001,0.2,30,MAE,2025-11-20 22:00:55,2025-11-20 22:00:58,1,0.16260170936584473,0.07741846144199371,0.27824172377586365,0.8023483365949119
71,30,64,64,2,0.001,0.2,50,MSE,2025-11-20 22:00:58,2025-11-20 22:01:03,1,0.1646774411201477,0.07808102667331696,0.2794298231601715,0.7847358121330724
72,30,64,64,2,0.001,0.2,50,MAE,2025-11-20 22:01:03,2025-11-20 22:01:08,1,0.18811798095703125,0.10748718678951263,0.32785239815711975,0.7984344422700587
73,30,64,64,2,0.002,0.1,30,MSE,2025-11-20 22:01:08,2025-11-20 22:01:11,1,0.2576656937599182,0.16982918977737427,0.4121033847332001,0.7984344422700587
74,30,64,64,2,0.002,0.1,30,MAE,2025-11-20 22:01:11,2025-11-20 22:01:14,1,0.1890420913696289,0.09431014209985733,0.3070995509624481,0.8003913894324853
75,30,64,64,2,0.002,0.1,50,MSE,2025-11-20 22:01:14,2025-11-20 22:01:19,1,0.1436454951763153,0.05550670996308327,0.235598623752594,0.8023483365949119
76,30,64,64,2,0.002,0.1,50,MAE,2025-11-20 22:01:19,2025-11-20 22:01:24,1,0.1965760886669159,0.12834230065345764,0.3582489490509033,0.8101761252446184
77,30,64,64,2,0.002,0.2,30,MSE,2025-11-20 22:01:24,2025-11-20 22:01:27,1,0.366011381149292,0.2453029751777649,0.4952807128429413,0.7906066536203522
78,30,64,64,2,0.002,0.2,30,MAE,2025-11-20 22:01:27,2025-11-20 22:01:31,1,0.24772843718528748,0.19295379519462585,0.43926507234573364,0.7925636007827789
79,30,64,64,2,0.002,0.2,50,MSE,2025-11-20 22:01:31,2025-11-20 22:01:35,1,0.15743504464626312,0.07234663516283035,0.26897329092025757,0.7984344422700587
80,30,64,64,2,0.002,0.2,50,MAE,2025-11-20 22:01:36,2025-11-20 22:01:41,1,0.24363163113594055,0.1944093257188797,0.4409187436103821,0.8062622309197651
81,30,64,64,3,0.001,0.1,30,MSE,2025-11-20 22:01:41,2025-11-20 22:01:45,1,0.38350701332092285,0.5260605812072754,0.7253003120422363,0.7162426614481409
82,30,64,64,3,0.001,0.1,30,MAE,2025-11-20 22:01:45,2025-11-20 22:01:49,1,0.3961014449596405,0.432303786277771,0.6574981212615967,0.7710371819960861
83,30,64,64,3,0.001,0.1,50,MSE,2025-11-20 22:01:49,2025-11-20 22:01:56,1,0.24127861857414246,0.15414251387119293,0.3926098644733429,0.7788649706457925
84,30,64,64,3,0.001,0.1,50,MAE,2025-11-20 22:01:56,2025-11-20 22:02:03,1,0.6961224675178528,1.0358476638793945,1.017765998840332,0.7906066536203522
85,30,64,64,3,0.001,0.2,30,MSE,2025-11-20 22:02:03,2025-11-20 22:02:07,1,0.30967098474502563,0.36575818061828613,0.6047794222831726,0.7690802348336595
86,30,64,64,3,0.001,0.2,30,MAE,2025-11-20 22:02:07,2025-11-20 22:02:11,1,0.28653308749198914,0.3277854025363922,0.5725254416465759,0.7651663405088063
87,30,64,64,3,0.001,0.2,50,MSE,2025-11-20 22:02:11,2025-11-20 22:02:19,1,0.37479543685913086,0.346850723028183,0.5889403223991394,0.786692759295499
88,30,64,64,3,0.001,0.2,50,MAE,2025-11-20 22:02:19,2025-11-20 22:02:26,1,0.3301282823085785,0.39098525047302246,0.6252881288528442,0.8023483365949119
89,30,64,64,3,0.002,0.1,30,MSE,2025-11-20 22:02:26,2025-11-20 22:02:30,1,0.36544832587242126,0.422416090965271,0.6499354243278503,0.7827788649706457
90,30,64,64,3,0.002,0.1,30,MAE,2025-11-20 22:02:30,2025-11-20 22:02:34,1,0.4382913112640381,0.7260808944702148,0.8521038293838501,0.7906066536203522
91,30,64,64,3,0.002,0.1,50,MSE,2025-11-20 22:02:34,2025-11-20 22:02:41,1,0.26596343517303467,0.332507461309433,0.5766345858573914,0.8003913894324853
92,30,64,64,3,0.002,0.1,50,MAE,2025-11-20 22:02:41,2025-11-20 22:02:48,1,0.31318366527557373,0.41311439871788025,0.6427397727966309,0.8043052837573386
93,30,64,64,3,0.002,0.2,30,MSE,2025-11-20 22:02:48,2025-11-20 22:02:52,1,0.2656902074813843,0.2975674867630005,0.545497477054596,0.7827788649706457
94,30,64,64,3,0.002,0.2,30,MAE,2025-11-20 22:02:52,2025-11-20 22:02:56,1,0.47217103838920593,0.6098890900611877,0.7809539437294006,0.7886497064579256
95,30,64,64,3,0.002,0.2,50,MSE,2025-11-20 22:02:57,2025-11-20 22:03:03,1,0.25040531158447266,0.17794528603553772,0.42183560132980347,0.8043052837573386
96,30,64,64,3,0.002,0.2,50,MAE,2025-11-20 22:03:04,2025-11-20 22:03:10,1,0.5122309327125549,0.8507190346717834,0.9223443269729614,0.8160469667318982
97,30,64,128,2,0.001,0.1,30,MSE,2025-11-20 22:03:11,2025-11-20 22:03:23,1,0.1776845008134842,0.05111876502633095,0.226094588637352,0.7788649706457925
98,30,64,128,2,0.001,0.1,30,MAE,2025-11-20 22:03:23,2025-11-20 22:03:36,1,0.19866067171096802,0.06195021793246269,0.24889801442623138,0.7925636007827789
99,30,64,128,2,0.001,0.1,50,MSE,2025-11-20 22:03:36,2025-11-20 22:03:58,1,0.17766059935092926,0.052097469568252563,0.2282487004995346,0.7984344422700587
100,30,64,128,2,0.001,0.1,50,MAE,2025-11-20 22:03:58,2025-11-20 22:04:19,1,0.1367669701576233,0.04326094686985016,0.20799265801906586,0.8023483365949119
101,30,64,128,2,0.001,0.2,30,MSE,2025-11-20 22:04:19,2025-11-20 22:04:32,1,0.1654399037361145,0.07081977277994156,0.2661198377609253,0.7573385518590998
